id,name,type
1861216,Pyaasa, 剧情 爱情 歌舞
1293182,12 Angry Men, 剧情
1299586,Halloween, 惊悚 恐怖
1900841,Das Leben der Anderen, 剧情 悬疑
1303580,"Francesco, giullare di Dio", 剧情 传记 历史
1308865,Oldeuboi, 剧情 动作 爱情 悬疑
1291575,Toy Story, 喜剧 动画 家庭
1297737,Tootsie, 喜剧 爱情
1292584,The Lady from Shanghai, 剧情 悬疑 犯罪 黑色电影
1303462,Dead Man, 剧情 西部 奇幻
1292963,"Steamboat Bill, Jr.", 剧情 喜剧 动作 爱情 家庭
1925767,Limite, 剧情
1299973,Alexander Nevsky, 剧情 动作 历史 战争
1296879,A Night at the Opera, 喜剧 爱情 歌舞
1292965,Boogie Nights, 剧情 情色
5964718,A Separation, 剧情 家庭
1303444,Bad ma ra khahad bord, 剧情
1293844,Muriel ou Le temps d'un retour, 剧情
1292750,Some Came Running, 剧情 爱情
1307994,The Wind, 剧情 西部
1293715,All the President's Men, 剧情 惊悚 历史
1296591,La caduta degli dei, 剧情 战争
1297833,Short Cuts, 剧情 喜剧
1294782,Le diable probablement, 剧情
1440106,Tini zabutykh predkiv, 剧情 爱情 历史
1292767,Shane, 剧情 西部
1298043,Barton Fink, 剧情 悬疑 惊悚
1294169,East of Eden, 剧情
1299330,All That Jazz, 剧情 喜剧 音乐 歌舞
1303067,Kagemusha, 剧情 历史 战争
1293817,Shadow of a Doubt, 剧情 悬疑 犯罪
1292453,2 Mad Max 2, 动作 科幻 惊悚 冒险
1294072,Laura, 剧情 爱情 悬疑 黑色电影
1298505,Strangers on a Train, 惊悚 犯罪 黑色电影
1294377,La terra trema: Episodio del mare, 剧情
1421292,Chronique d'un, 纪录片
1308422,Safe, 剧情
1419271,Gimme Shelter, 纪录片 音乐 历史
1293168,Top Hat, 喜剧 爱情 歌舞
1389949,Doctor Zhivago, 剧情 爱情 战争
1306847,Marketa Lazarov, 剧情 爱情 历史
1299077,Naked, 剧情
1419111,Grey Gardens, 纪录片
1305235,Faust - Eine deutsche Volkssage, 恐怖 奇幻
1471815,Lola, 剧情 爱情
1296659,Limelight, 剧情 喜剧 爱情 音乐
1292720,Forrest Gump, 剧情 爱情
1305883,Point Blank, 剧情 惊悚 犯罪
1298347,MARGUERITE DURAS, 剧情 爱情
1296929,Frankenstein, 科幻 恐怖
2043434,The Big Heat, 惊悚 犯罪 黑色电影
1297797,Hoop Dreams, 剧情 纪录片 运动
1305139,Wagon Master, 剧情 动作 爱情 西部 冒险
1295877,S, 剧情 喜剧
1292697,Die Hard, 动作 惊悚 犯罪
1296792,Nattvardsg, 剧情
